id,name,batch,type,address,publish,age,location
1-1,三元里平英团遗址,第一批,革命遗址及革命纪念建筑物,广东省广州市三元里,文物保护单位,1841年,"113.267187,23.162749"
1-2,金田起义地址,第一批,革命遗址及革命纪念建筑物,广西壮族自治区桂平县金田村,文物保护单位,1851年,"110.085309,23.588928"
1-3,太平天国忠王府,第一批,革命遗址及革命纪念建筑物,江苏省苏州市东北街,文物保护单位,1860－1863年,"120.628607,31.323276"
1-4,韶山冲毛主席旧居,第一批,革命遗址及革命纪念建筑物,湖南省湘潭县韶山冲,文物保护单位,1893年,"112.950781,27.778947"
1-5,江孜宗山抗英遗址,第一批,革命遗址及革命纪念建筑物,西藏自治区江孜县,文物保护单位,1904年,"89.601541,28.914268"
1-6,黄花岗七十二烈士墓,第一批,革命遗址及革命纪念建筑物,广东省广州市,文物保护单位,1911年,"113.294432,23.140705"
1-7,武昌起义军政府旧址,第一批,革命遗址及革命纪念建筑物,湖北省武汉市,文物保护单位,1911年,"114.306333,30.542024"
1-8,北京大学红楼,第一批,革命遗址及革命纪念建筑物,北京市东城区沙滩,文物保护单位,,"116.405331,39.924685"
1-9,上海中山故居,第一批,革命遗址及革命纪念建筑物,上海市香山路,文物保护单位,1919年,"121.467691,31.216129"
1-10,中国社会主义青年团中央机关旧址,第一批,革命遗址及革命纪念建筑物,上海市淮海路渔阳里,文物保护单位,1920－1921年,"121.468159,31.220186"
1-11,中国共产党第一次全国代表大会会址,第一批,革命遗址及革命纪念建筑物,上海市兴业路,文物保护单位,1921年,"121.475228,31.220155"
1-12,广州农民运动讲习所旧址,第一批,革命遗址及革命纪念建筑物,广东省广州市中山四路,文物保护单位,1926年,"113.276506,23.126920"
1-13,＂八一＂起义指挥部旧址,第一批,革命遗址及革命纪念建筑物,江西省南昌市,文物保护单位,1927年,"115.885014,28.679650"
1-14,秋收起义文家市会师旧址,第一批,革命遗址及革命纪念建筑物,湖南省浏阳县,文物保护单位,1927年,"113.932450,28.042913"
1-15,海丰红宫、红场旧址,第一批,革命遗址及革命纪念建筑物,广东省海丰县中山西路,文物保护单位,1927－1928年,"115.335678,22.967296"
1-16,广州公社旧址,第一批,革命遗址及革命纪念建筑物,广东省广州市维新路,文物保护单位,1927年,"113.264677,23.124357"
1-17,井冈山革命遗址,第一批,革命遗址及革命纪念建筑物,江西省宁冈县,文物保护单位,1927－1929年,"114.289563,26.748132"
1-18,古田会议会址,第一批,革命遗址及革命纪念建筑物,福建省上杭县古田村,文物保护单位,1929年,"116.826947,25.216043"
1-19,中山陵,第一批,革命遗址及革命纪念建筑物,江苏省南京市紫金山,文物保护单位,1929年,"118.822590,32.055244"
1-20,瑞金革命遗址,第一批,革命遗址及革命纪念建筑物,江西省瑞金县,文物保护单位,1931－1934年,"116.027114,25.886230"
1-21,遵义会议会址,第一批,革命遗址及革命纪念建筑物,贵州省遵义市,文物保护单位,1935年,"106.919580,27.687691"
1-22,泸定桥,第一批,革命遗址及革命纪念建筑物,四川省甘孜藏族自治州泸定县,文物保护单位,1935年,"102.231896,29.911771"
1-23,延安革命遗址,第一批,革命遗址及革命纪念建筑物,陕西省延安县,文物保护单位,1937－1947年,"109.490547,36.596209"
1-24,卢沟桥,第一批,革命遗址及革命纪念建筑物,北京市丰台区,文物保护单位,,"116.220393,39.850512"
1-25,平型关战役遗址,第一批,革命遗址及革命纪念建筑物,山西省繁峙县,文物保护单位,1937年,"113.911349,39.309325"
1-26,八路军总司令部旧址,第一批,革命遗址及革命纪念建筑物,山西省武乡县,文物保护单位,1938年,"112.864562,36.837625"
1-27,新四军军部旧址,第一批,革命遗址及革命纪念建筑物,安徽省泾县,文物保护单位,1938－1941年,"118.206024,30.643808"
1-28,八路军重庆办事处旧址,第一批,革命遗址及革命纪念建筑物,四川省重庆市红岩村及曾家岩,文物保护单位,1938－1946年,"104.038338,30.678461"
1-29,冉庄地道战遗址,第一批,革命遗址及革命纪念建筑物,河北省保定市,文物保护单位,1942年,"115.369363,38.669815"
1-30,天安门,第一批,革命遗址及革命纪念建筑物,北京市,文物保护单位,,"116.397477,39.908692"
1-31,鲁迅墓,第一批,革命遗址及革命纪念建筑物,上海市虹口公园,文物保护单位,,"121.480592,31.271447"
1-32,中苏友谊纪念塔,第一批,革命遗址及革命纪念建筑物,辽宁省旅大市,文物保护单位,1957年,"121.234284,38.809383"
1-33,人民英雄纪念碑,第一批,革命遗址及革命纪念建筑物,北京市天安门广场,文物保护单位,1958年,"116.397679,39.904618"
1-34,云冈石窟,第一批,石窟寺,山西省大同市,文物保护单位,北魏,"113.135890,40.111345"
1-35,莫高窟,第一批,石窟寺,甘肃省敦煌县,文物保护单位,北魏至元,"94.809003,40.041708"
1-36,榆林窟,第一批,石窟寺,甘肃省安西县,文物保护单位,北魏至元,"95.933898,40.061269"
1-37,龙门石窟,第一批,石窟寺,河南省洛阳市,文物保护单位,北魏至唐,"112.475441,34.549160"
1-38,麦积山石窟,第一批,石窟寺,甘肃省天水市,文物保护单位,北魏至明,"106.009913,34.348659"
